,text
1, 10.40,
2, City
3, 768019
4, OT
5, UEN No: S83CS0191L
6, GST No :M4-0004578-0
7, NTUC FAIRPRICE
8, Northpoint City
9, [1] Northpoint Drive Northpoint
10, #B2-103/104/105/106/107 Si te
11, TEL: 64813420
12, B FSH DUMPLNG25S (210)
13, 2R5 20
14, Normal Price 11.10
15, CHILL RED CHERRYSO0G
16, Normal Price 14.95
17, D FRSH F/BALL 170G
18, 2X$2 .02/Uni t
19, 2 FOR $3a66
20, LINK CARD 8109080016490919
21, UID: 182159864999504382 ©
22, NTUC FAIRPRICE
23, Northpoint City
24, [1] Northpoint Drive Northpoint
25, #B2-103/104/105/ 106/107 Sinaeoard
26, TEL: 64813420
27, ~UEN No: S83CS0191L
28, GST _No_:M4-0004578-0
29, B FSH DUMPLNG25S |210)
30, 2R5 20
31, Normal Price 11.10
32, CHILL RED CHERRYSO0G
33, Normal Price 14.95
34, D FRSH F/BALL 170G
35, 2X$2.02/Uni t
36, 2 FOR $3a66
37, LINK CARD 8109080016490919
38, UID: 182199864999504362 ©
39, ACNT NO. oo SCSeiaiaa
